"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",0,1,1,1,2,1,1,1,1,1,1,1,2,1,3,2,2,1,1,3,1,1,3,1,1,2,2,1,2,1
"2",3,0,1,2,2,1,2,1,1,1,2,1,3,2,3,4,3,1,2,2,2,1,3,3,2,2,2,1,1,2
"3",1,1,0,2,3,1,3,1,3,2,3,1,3,1,2,1,2,1,4,5,1,1,3,1,1,1,1,1,2,1
"4",1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,2,1,2,2,4
"5",1,1,1,1,0,1,3,1,2,1,2,1,1,2,2,2,4,1,3,2,1,1,3,1,1,1,2,1,2,1
"6",1,1,1,1,1,0,1,1,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,2
"7",2,1,1,1,2,1,0,1,2,2,1,1,3,1,1,2,4,1,2,3,1,1,4,1,1,4,1,1,2,2
"8",4,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,2,3,1,1,2,1,1,1,1,2,3,1
"9",1,1,2,2,1,2,3,1,0,1,2,1,3,1,2,2,1,1,2,2,2,1,3,1,1,1,1,1,1,1
"10",1,1,2,2,2,1,1,1,1,0,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1
"11",5,5,2,1,5,3,5,1,2,2,0,2,3,3,2,5,5,2,4,5,3,3,3,3,3,2,3,3,5,3
"12",1,1,1,1,1,1,1,1,2,1,2,0,2,1,1,3,3,1,3,2,1,1,1,2,1,1,3,1,2,1
"13",2,1,2,2,1,2,3,1,3,4,3,1,0,1,3,2,3,1,4,4,2,1,3,1,5,3,3,3,1,4
"14",4,1,1,1,2,1,2,1,2,1,4,1,1,0,1,3,3,1,2,2,2,1,1,1,2,1,3,2,2,1
"15",2,1,2,2,1,1,3,1,1,2,2,1,2,1,0,2,1,1,4,5,2,1,2,1,1,2,1,2,1,3
"16",2,2,2,1,2,1,1,2,2,1,4,1,1,2,1,0,2,1,3,3,1,3,4,2,2,2,5,2,4,1
"17",1,1,2,1,3,2,2,1,2,1,2,1,1,1,2,3,0,1,2,4,1,1,1,2,1,2,1,1,1,1
"18",2,2,2,1,1,1,1,1,1,1,1,1,3,1,3,2,2,0,4,2,1,1,2,1,1,3,2,2,1,1
"19",1,2,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,2,0,2,1,1,1,1,2,1,1,1,1,1
"20",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,2,2
"21",2,1,2,1,2,2,1,1,1,1,2,1,1,1,3,1,2,1,2,2,0,2,2,1,1,2,1,1,1,2
"22",5,2,1,1,3,2,4,1,2,2,4,2,2,1,1,5,2,1,3,2,1,0,4,1,3,1,3,2,3,2
"23",4,4,1,1,4,1,2,1,3,3,4,1,2,2,3,2,4,2,3,5,2,3,0,1,2,2,4,1,2,2
"24",1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,3,1,1,1,1,1,4,0,1,1,1,1,1,1
"25",3,3,3,1,1,2,1,1,1,2,2,1,2,1,4,2,1,1,1,3,2,2,2,2,0,3,2,3,3,4
"26",1,1,1,1,1,1,2,1,1,2,1,1,1,1,3,1,1,1,1,2,2,1,1,1,2,0,1,1,1,1
"27",2,3,1,1,1,1,2,1,1,1,4,2,1,3,3,4,2,1,3,3,1,2,4,1,1,2,0,1,3,2
"28",3,1,1,2,1,1,3,1,2,2,2,2,2,1,2,3,1,1,3,5,3,1,2,1,2,2,1,0,3,2
"29",1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,2,3,2,1,1,1,1,2,1,1,0,2
"30",3,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,2,1,2,5,1,2,1,1,4,2,1,1,1,0
