"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70"
"1",0,5,3,5,3,4,2,2,4,2,2,3,1,5,2,2,1,1,4,5,5,4,4,4,3,4,1,4,3,1,1,1,3,5,2,5,4,4,2,4,2,3,2,1,2,4,3,2,1,4,2,2,1,3,4,1,3,4,1,3,1,4,2,4,2,4,1,2,3,2
"2",3,0,1,3,5,2,2,5,4,3,3,3,1,5,3,4,5,2,5,2,5,4,4,2,4,5,1,4,3,4,4,3,3,5,4,5,5,1,3,5,2,4,2,3,2,3,2,3,3,3,2,4,3,5,2,5,4,5,1,4,1,4,3,2,2,2,3,4,5,2
"3",1,2,0,1,1,3,1,3,3,1,1,1,4,4,2,3,2,3,3,5,3,2,2,2,4,3,1,3,3,4,5,2,1,4,4,3,3,1,2,5,2,2,1,4,1,3,2,1,4,3,5,2,1,3,1,1,4,3,1,3,4,2,1,1,5,1,1,4,5,1
"4",3,1,1,0,3,2,1,1,1,2,1,1,1,2,1,2,1,1,2,4,1,1,1,2,1,3,1,3,1,1,1,1,1,2,1,2,2,3,2,1,1,4,2,1,1,1,5,1,1,2,1,1,1,3,2,1,1,2,1,2,1,4,2,1,1,1,1,2,1,1
"5",2,4,1,5,0,5,3,1,3,2,3,3,2,4,1,3,1,1,2,5,5,1,4,2,2,5,1,3,5,1,3,4,2,5,5,4,3,3,2,5,2,4,1,1,1,4,2,2,1,3,2,3,2,4,3,2,2,2,1,2,1,5,3,3,3,2,2,4,3,2
"6",4,3,1,5,3,0,3,1,3,1,1,2,2,5,3,3,1,1,2,5,4,2,3,2,2,5,1,3,4,4,2,1,2,5,2,5,2,3,2,5,1,3,1,3,2,4,2,1,1,4,4,1,1,4,4,3,4,4,2,3,3,4,3,3,2,3,1,1,5,1
"7",2,4,1,3,2,4,0,1,4,2,2,1,3,4,3,4,2,1,4,5,5,3,4,3,2,5,2,5,2,3,4,2,1,5,4,4,2,3,1,4,4,3,3,1,2,3,2,1,3,5,1,1,1,5,2,1,2,5,1,3,3,3,1,2,5,3,2,4,4,3
"8",2,3,1,3,2,1,2,0,1,3,3,1,3,4,2,2,4,2,5,2,3,1,5,2,1,5,1,2,1,3,4,2,2,5,5,4,3,4,1,3,1,2,1,2,2,2,4,2,1,3,1,4,1,3,1,3,2,4,1,5,2,2,2,1,2,2,1,4,3,2
"9",3,4,2,5,1,4,1,2,0,2,3,2,1,4,3,3,3,2,4,5,4,3,5,2,2,4,2,5,2,5,4,3,1,5,3,5,4,2,2,5,2,3,2,1,4,3,2,2,3,4,2,4,2,4,3,3,5,5,2,4,4,5,2,1,2,2,4,5,5,3
"10",5,5,5,3,5,5,3,2,5,0,3,5,5,5,4,5,4,3,5,5,4,4,5,5,4,5,2,5,5,5,5,4,3,5,5,5,5,4,3,5,4,3,4,3,4,3,3,3,3,5,5,2,1,5,3,3,4,4,3,4,5,4,3,4,5,5,4,4,5,3
