"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",0,2,1,3,3,2,2,1,4,2,3,2,5,1,3,5,3,1,4,4,1,5,3,1,4,4,4,1,3,2
"2",5,0,3,2,3,2,4,1,4,2,5,3,4,4,4,5,5,1,3,5,1,4,4,2,4,2,5,1,1,2
"3",3,1,0,3,3,4,2,1,3,3,4,3,4,1,3,2,2,1,4,5,4,1,1,1,2,3,3,5,3,4
"4",4,3,1,0,2,3,1,1,2,2,1,1,3,1,2,1,3,2,4,4,1,1,4,1,5,2,2,3,4,3
"5",5,2,1,3,0,3,3,2,3,3,4,2,3,1,4,4,5,1,5,5,3,1,4,1,2,3,3,3,2,2
"6",3,1,1,2,1,0,2,2,4,2,2,2,4,1,1,2,3,1,2,5,3,1,1,1,3,2,2,3,2,2
"7",5,5,2,3,4,3,0,1,2,1,4,3,3,3,3,4,5,2,5,5,2,4,4,2,4,2,3,3,4,4
"8",4,1,2,3,2,2,3,0,2,1,1,1,2,1,1,3,3,1,4,4,2,2,4,1,3,1,1,1,3,3
"9",3,1,2,4,4,1,2,1,0,4,3,4,3,1,3,3,3,1,3,4,2,1,5,2,3,5,3,2,1,3
"10",4,1,2,2,1,4,3,1,3,0,3,1,5,1,3,1,1,1,3,2,3,1,1,2,3,3,1,1,1,2
"11",5,5,3,4,5,4,5,1,5,5,0,4,4,5,5,5,5,3,5,5,5,4,5,4,5,5,5,1,4,4
"12",3,2,3,2,4,2,3,1,5,3,4,0,5,1,4,3,4,2,5,4,2,1,5,2,3,4,4,2,4,5
"13",4,3,5,5,3,5,4,1,5,4,3,3,0,2,4,3,2,1,5,5,3,3,5,2,3,3,3,4,5,5
"14",5,3,2,1,2,2,3,2,5,1,5,3,2,0,4,5,4,1,4,3,2,3,5,1,3,2,5,1,3,2
"15",5,4,3,3,4,4,3,1,3,3,5,2,5,2,0,2,4,3,5,5,5,1,5,5,5,5,5,1,4,5
"16",5,5,3,4,5,2,4,1,5,2,4,2,4,4,4,0,3,1,4,5,1,5,4,2,2,2,4,4,4,3
"17",5,4,2,1,3,2,5,1,4,5,5,2,2,2,4,5,0,1,5,5,2,2,3,2,3,3,2,3,2,4
"18",2,2,2,2,2,2,4,1,1,3,4,1,3,2,3,3,2,0,5,3,4,1,2,4,2,3,4,3,1,2
"19",4,2,2,1,2,3,3,1,3,2,2,2,3,2,4,2,4,2,0,4,3,1,4,2,1,4,1,1,4,3
"20",3,1,2,2,1,1,3,1,4,2,3,1,2,1,2,2,1,1,1,0,1,1,4,1,1,1,1,3,4,3
"21",2,1,2,1,2,1,1,1,1,1,3,1,2,1,3,2,2,1,3,4,0,1,4,2,4,4,3,1,2,4
"22",5,5,2,2,5,3,5,1,3,2,5,3,4,3,3,5,5,2,5,5,3,0,5,4,4,4,4,3,5,5
"23",4,5,3,3,4,3,5,1,5,4,5,3,5,3,4,5,4,2,5,5,3,3,0,4,3,3,4,3,4,3
"24",2,2,1,2,2,1,2,1,3,1,2,1,1,1,2,3,4,1,4,4,2,3,4,0,2,3,2,1,2,1
"25",5,2,5,4,5,3,3,2,5,4,3,4,5,2,5,4,4,1,5,5,3,1,5,2,0,5,4,4,4,5
"26",3,1,2,1,2,2,4,1,2,3,3,1,2,1,4,2,3,1,3,5,4,1,3,1,1,0,1,1,2,1
"27",3,4,2,2,4,2,4,1,3,2,4,3,1,3,4,3,4,1,4,5,1,4,5,2,4,1,0,3,5,1
"28",4,3,4,5,1,4,3,1,3,2,4,3,5,1,2,3,2,1,5,5,3,2,5,2,5,3,2,0,5,3
"29",4,3,3,2,2,1,3,1,3,2,3,1,4,1,3,4,4,1,2,3,1,1,3,1,3,1,2,2,0,3
"30",3,2,3,4,1,2,2,1,3,2,2,2,3,2,1,3,1,2,3,4,4,1,2,2,5,1,1,3,4,0
